title,genres,actors,director,year,plot,mood,rating
Inception,accion sci-fi thriller,Leonardo DiCaprio Tom Hardy,Christopher Nolan,2010,Un ladron que roba secretos corporativos,mente compleja intenso,8.8
Toy Story 3,animacion comedia familiar,Tom Hanks Tim Allen,Lee Unkrich,2010,Los juguetes enfrentan su futuro cuando Andy va a la universidad,emocional divertido,8.3
Shutter Island,thriller psicologico misterio,Leonardo DiCaprio Mark Ruffalo,Martin Scorsese,2010,Un alguacil investiga una desaparicion en un hospital psiquiatrico,suspenso misterioso,8.2
The Social Network,drama biografia,Jesse Eisenberg Andrew Garfield,David Fincher,2010,La historia de la creacion de Facebook y las disputas legales,inteligente dramático,7.8
Iron Man 2,accion ciencia ficcion aventura,Robert Downey Jr Mickey Rourke,Jon Favreau,2010,Tony Stark enfrenta nuevas amenazas como Iron Man,accion emocionante,7.0
Love Actually,romance comedia drama,Hugh Grant Liam Neeson,Richard Curtis,2003,Historias de amor entrelazadas en Londres,romantico divertido,7.6
The Dark Knight,accion crimen drama,Christian Bale Heath Ledger,Christopher Nolan,2008,Batman se enfrenta al Joker en Gotham City,oscuro intenso,9.0
La La Land,romance musical drama,Ryan Gosling Emma Stone,Damien Chazelle,2016,Un musico y una actriz se enamoran en Los Angeles,romantico inspirador,8.0
Avengers: Endgame,accion aventura ciencia ficcion,Robert Downey Jr Chris Evans,Anthony Russo,2019,Los Vengadores revierten el chasquido de Thanos,epico emocionante,8.4
Titanic,romance drama historico,Leonardo DiCaprio Kate Winslet,James Cameron,1997,Una pareja se enamora a bordo del Titanic,romantico tragico,7.8
The Avengers,accion ciencia ficcion aventura,Robert Downey Jr Chris Evans,Joss Whedon,2012,Superheroes unen fuerzas para salvar el planeta,accion emocionante,8.0
Black Panther,accion aventura ciencia ficcion,Chadwick Boseman Michael B Jordan,Ryan Coogler,2018,T Challa asume el trono de Wakanda y enfrenta desafios,accion cultural,7.3
Forrest Gump,drama romance,Tom Hanks Robin Wright,Robert Zemeckis,1994,La vida de un hombre que influye en eventos historicos,conmovedor inspirador,8.8
The Notebook,romance drama,Ryan Gosling Rachel McAdams,Nick Cassavetes,2004,Una pareja joven se enamora en los años 40,romantico pasional,7.8
John Wick,accion thriller crimen,Keanu Reeves Michael Nyqvist,Chad Stahelski,2014,Un exasesino busca venganza tras la muerte de su perro,accion intenso,7.4
The Matrix,accion ciencia ficcion,Keanu Reeves Laurence Fishburne,Lana Wachowski,1999,Un hacker descubre una realidad alternativa y lucha por la humanidad,accion revolucionario,8.7